habitat,species,component,average,gutcheck,gut_minus_avg
deep_seafloor,cowcod,sensitivity,2,2,0
deep_seafloor,cowcod,exposure,1.71,2,0.29
deep_seafloor,cowcod,adaptive_capacity,3.43,4,0.57
deep_seafloor,lingcod,sensitivity,1.78,2,0.22
deep_seafloor,lingcod,exposure,1.56,3,1.44
deep_seafloor,lingcod,adaptive_capacity,3.57,4,0.43
deep_seafloor,cnidarian,sensitivity,3.8,3,-0.8
deep_seafloor,cnidarian,exposure,2.6,3,0.4
deep_seafloor,cnidarian,adaptive_capacity,2.93,2,-0.93
deep_seafloor,sponge,sensitivity,3.2,3,-0.2
deep_seafloor,sponge,exposure,2.6,3,0.4
deep_seafloor,sponge,adaptive_capacity,2.93,2,-0.93
kelp_forest,ca_sheephead,sensitivity,2,3,1
kelp_forest,ca_sheephead,exposure,3.8,4,0.2
kelp_forest,ca_sheephead,adaptive_capacity,3.29,4,0.71
kelp_forest,kelp_bass,sensitivity,2.2,2,-0.2
kelp_forest,kelp_bass,exposure,4.4,4,-0.4
kelp_forest,kelp_bass,adaptive_capacity,3.07,4,0.93
kelp_forest,red_urchin,sensitivity,3.5,3,-0.5
kelp_forest,red_urchin,exposure,3.67,3,-0.67
kelp_forest,red_urchin,adaptive_capacity,3.36,4,0.64
kelp_forest,spiny_lobster,sensitivity,1.2,1,-0.2
kelp_forest,spiny_lobster,exposure,4,4,0
kelp_forest,spiny_lobster,adaptive_capacity,3.21,4,0.79
kelp_forest,giant_kelp,sensitivity,2.67,4,1.33
kelp_forest,giant_kelp,exposure,2.89,4,1.11
kelp_forest,giant_kelp,adaptive_capacity,3.57,3,-0.57
pelagic,anchovy,sensitivity,2.71,4,1.29
pelagic,anchovy,exposure,3.14,3,-0.14
pelagic,anchovy,adaptive_capacity,3.5,4,0.5
pelagic,sardine,sensitivity,2.43,4,1.57
pelagic,sardine,exposure,2.57,3,0.43
pelagic,sardine,adaptive_capacity,3.36,4,0.64
pelagic,white_shark,sensitivity,1.57,2,0.43
pelagic,white_shark,exposure,2.86,3,0.14
pelagic,white_shark,adaptive_capacity,3.36,3,-0.36
pelagic,swordfish,sensitivity,1.71,2,0.29
pelagic,swordfish,exposure,2.57,3,0.43
pelagic,swordfish,adaptive_capacity,3.43,4,0.57
rocky_shore,golden_rockweed,sensitivity,2.56,4,1.44
rocky_shore,golden_rockweed,exposure,3.44,4,0.56
rocky_shore,golden_rockweed,adaptive_capacity,3.14,3,-0.14
rocky_shore,black_abalone,sensitivity,2.7,4,1.3
rocky_shore,black_abalone,exposure,2.8,4,1.2
rocky_shore,black_abalone,adaptive_capacity,3.5,3,-0.5
rocky_shore,ochre_sea_star,sensitivity,2.55,5,2.45
rocky_shore,ochre_sea_star,exposure,2.18,3,0.82
rocky_shore,ochre_sea_star,adaptive_capacity,3.43,3,-0.43
rocky_shore,ca_mussel,sensitivity,3.18,5,1.82
rocky_shore,ca_mussel,exposure,3.09,4,0.91
rocky_shore,ca_mussel,adaptive_capacity,3.87,4,0.13
sandy_seafloor,eelgrass,sensitivity,3,4,1
sandy_seafloor,eelgrass,exposure,3.57,4,0.43
sandy_seafloor,eelgrass,adaptive_capacity,2.8,3,0.2
sandy_seafloor,ca_halibut,sensitivity,1.63,3,1.37
sandy_seafloor,ca_halibut,exposure,2,2,0
sandy_seafloor,ca_halibut,adaptive_capacity,3.07,3,-0.07
sandy_seafloor,warty_sea_cuc,sensitivity,1.86,5,3.14
sandy_seafloor,warty_sea_cuc,exposure,2.29,3,0.71
sandy_seafloor,warty_sea_cuc,adaptive_capacity,2.71,3,0.29
sandy_seafloor,rock_crab_spp,sensitivity,3.14,4,0.86
sandy_seafloor,rock_crab_spp,exposure,2.57,3,0.43
sandy_seafloor,rock_crab_spp,adaptive_capacity,3.36,3,-0.36
sandy_beach,pac_sand_crab,sensitivity,3,3,0
sandy_beach,pac_sand_crab,exposure,3.5,4,0.5
sandy_beach,pac_sand_crab,adaptive_capacity,3.5,3,-0.5
pelagic_seabirds,brown_pelican,sensitivity,3.43,4,0.57
pelagic_seabirds,brown_pelican,exposure,2.86,4,1.14
pelagic_seabirds,brown_pelican,adaptive_capacity,3.57,3,-0.57
pelagic_seabirds,scripps_murrelet,sensitivity,3.63,5,1.37
pelagic_seabirds,scripps_murrelet,exposure,3.25,4,0.75
pelagic_seabirds,scripps_murrelet,adaptive_capacity,2.64,2,-0.64