mhr_category,component,factor,score
nearshore,climate_sensitivity,air_temp,1
offshore,climate_sensitivity,air_temp,NA
nearshore,climate_sensitivity,water_temp,3
offshore,climate_sensitivity,water_temp,3
nearshore,climate_sensitivity,precipitation,1
offshore,climate_sensitivity,precipitation,NA
nearshore,climate_sensitivity,salinity,3
offshore,climate_sensitivity,salinity,3
nearshore,climate_sensitivity,do,4
offshore,climate_sensitivity,do,4
nearshore,climate_sensitivity,ph,3
offshore,climate_sensitivity,ph,3
nearshore,climate_sensitivity,inc_water_depth,1
offshore,climate_sensitivity,inc_water_depth,1
nearshore,climate_sensitivity,wave_tide,5
offshore,climate_sensitivity,wave_tide,NA
nearshore,climate_sensitivity,flow_velocity,4
offshore,climate_sensitivity,flow_velocity,4
nearshore,climate_sensitivity,site_erosion,5
offshore,climate_sensitivity,site_erosion,4
nearshore,climate_sensitivity,sedimentation,5
offshore,climate_sensitivity,sedimentation,2
nearshore,climate_sensitivity,surge_inundation,4
offshore,climate_sensitivity,surge_inundation,NA
nearshore,non_climate,artifact_movt,5
offshore,non_climate,artifact_movt,5
nearshore,non_climate,bio_chem_degredation,5
offshore,non_climate,bio_chem_degredation,5
nearshore,non_climate,fishing_trawling,5
offshore,non_climate,fishing_trawling,5
nearshore,non_climate,neglect,3
offshore,non_climate,neglect,3
nearshore,non_climate,research_activities,2
offshore,non_climate,research_activities,2
nearshore,non_climate,visitation,3
offshore,non_climate,visitation,2
nearshore,non_climate,vegetation,1
offshore,non_climate,vegetation,1